Position,Symbol,Ground ctl #33,Ground ctl #34,Ground ctl #35,Ground ctl #36,Ground ctl #37,Ground ctl #38,Ground ctl #39,Ground ctl #40,Flight #23,Flight #24,Flight #25,Flight #26,Flight #27,Flight #28,Flight #29,Flight #30
A01,Acacb,25.914785,26.838072,27.022198,29.840216,26.325565,27.718788,28.339878,27.269306,27.705471,26.489044,28.971382,26.727058,27.227451,25.8095,25.38665,29.976095
A02,Adig,22.865719,24.115864,23.752766,26.081951,22.764,24.129812,24.770779,23.707129,25.425806,23.931131,28.141912,25.37125,24.647284,24.458633,23.914782,27.632442
A03,Adipoq,20.953014,21.618462,21.117342,26.129042,20.511137,21.90436,22.524416,20.959171,23.51612,22.417099,28.552092,23.971262,22.71624,22.869368,21.990948,27.60936
A04,Adrb2,28.695105,29.31012,29.982672,31.99825,29.196722,29.785234,29.70007,29.126036,30.63754,30.035318,30.000124,30.807968,29.847303,30.686375,29.722584,32.163265
A05,Agt,25.818481,23.996582,25.290869,28.841074,24.488356,26.390545,26.729185,23.914766,27.351484,27.053524,30.203392,27.675344,25.367798,26.792315,26.072393,30.634449
A06,Angpt2,25.15218,26.497404,27.248035,27.629505,26.11745,27.131006,27.31065,26.83768,29.475332,28.558802,29.322596,29.668337,28.222378,27.933973,28.20291,28.663687
A07,Axin1,27.847132,26.606752,29.419722,31.339117,28.011848,29.12053,29.840485,28.207525,29.386095,29.415,30.664736,30.737148,29.660364,29.701576,28.856842,32.752357
A08,Bmp2,29.277311,27.123877,31.064312,31.43228,29.850992,30.086828,32.125893,30.857868,30.214895,29.96916,30.322884,30.508902,30.632534,31.528507,29.973333,32.081932
A09,Bmp4,28.601954,28.304806,30.876627,31.303175,27.770893,29.566925,29.894388,28.697695,30.61043,29.593136,31.058947,33.85944,31.24041,30.726795,29.473595,33.256836
A10,Bmp7,29.325687,29.318987,31.211855,31.605423,30.529337,31.400742,31.45819,30.556301,30.424139,29.437115,30.179983,29.710535,31.18027,31.659319,29.95588,31.731186
A11,Ccnd1,26.871746,26.716427,27.963861,30.094358,27.24838,27.968243,28.586256,27.205013,29.168835,27.997108,28.790377,28.441168,28.748663,27.578661,27.740328,30.724333
A12,Cdk4,26.723438,23.94405,27.879393,31.455555,26.841333,27.817125,28.651077,26.927692,29.222235,27.759203,31.01392,29.090147,29.17401,28.65094,28.111946,32.51262
B01,Cdkn1a,25.640953,25.989807,26.744864,30.209284,26.666515,27.460106,28.661001,26.565296,28.442528,26.646887,29.1797,27.10708,26.62164,25.928802,26.230053,30.217516
B02,Cdkn1b,27.783216,26.17209,28.674973,30.165497,27.609518,28.448536,29.314884,27.334969,29.461557,28.654976,31.049751,30.162544,29.265446,29.510216,28.53509,31.630014
B03,Cebpa,26.082863,26.755144,26.206896,25.748594,25.04178,25.960938,26.520687,26.29773,28.441698,27.829733,27.838737,27.705353,25.759998,28.370018,26.68497,27.096378
B04,Cebpb,28.573751,28.725058,29.941423,31.518799,28.805208,29.866219,30.634033,29.91956,30.288044,29.609974,29.1343,30.623507,30.233795,30.10474,28.793947,31.853268
B05,Cebpd,28.74746,28.95533,29.223558,29.989923,27.98864,28.986513,29.652248,28.596436,30.447737,30.15803,29.660261,30.082636,29.297441,30.90376,29.069403,30.752878
B06,Cfd,18.328999,20.773449,19.454815,19.834332,18.198519,19.252413,19.343124,19.785404,20.261852,19.1069,23.380272,19.671139,19.176615,19.06589,18.853462,21.367022
B07,Creb1,27.432753,26.167795,28.673294,34.115696,28.383917,28.848965,29.37865,27.883425,29.453629,28.754845,30.463072,29.699902,29.219156,28.786808,28.434933,34.15628
B08,Ddit3,26.905834,25.209229,27.912794,30.749962,26.562641,27.664179,28.927753,27.019384,29.288849,28.727057,30.50363,28.787006,28.611418,28.26585,27.943117,31.588505
B09,Dio2,29.10135,30.011179,33.986347,33.831886,33.17169,31.2177,31.73039,32.271347,30.219357,29.95089,30.307526,31.53336,32.57601,32.436443,28.853874,32.698856
B10,Dkk1,29.577513,34.622253,33.142937,32.240963,32.341114,30.826918,33.068085,Undetermined,30.346466,30.264326,30.77199,36.14966,31.722654,Undetermined,29.6153,32.651787
B11,Dlk1,29.243336,28.847717,32.661198,34.972927,29.557348,31.322529,33.254326,30.371792,30.205492,29.336031,30.770552,33.784245,32.127304,32.40711,28.538622,31.788633
B12,E2f1,26.994831,26.814304,28.466885,31.837917,27.653322,28.668055,29.942095,28.117273,28.521128,28.526974,29.375105,29.988295,29.492386,29.423483,27.920181,31.573786
C01,Egr2,28.555302,29.473448,30.638184,35.749672,30.422113,30.815062,30.778069,29.763113,29.324642,29.841316,31.0146,32.358463,31.194496,32.882607,29.100517,35.721577
C02,Fabp4,17.412338,18.240866,17.768877,21.859552,17.08606,18.529236,19.21778,17.888287,20.27516,18.786137,23.130562,19.839874,19.19508,18.80968,18.545795,22.67113
C03,Fasn,19.4307,21.892128,20.670715,22.205675,19.182041,20.587488,22.019407,22.043142,21.798334,20.233469,23.870338,20.816828,21.646456,20.290257,19.9001,23.245941
C04,Fgf1,27.31699,28.482899,28.403341,31.163425,25.659832,29.40403,30.09972,28.084227,30.165272,28.918583,30.400108,29.688456,29.692781,28.344294,28.59047,32.033867
C05,Fgf10,25.430412,26.809399,26.47102,32.34572,25.961237,26.872805,27.235502,26.681355,28.426247,27.183243,30.675678,28.390112,27.611557,27.691717,26.996338,31.578873
C06,Fgf2,27.44976,27.557411,28.340082,31.661354,27.395243,28.599726,29.172216,27.113474,29.239185,28.867472,31.132246,31.430674,29.25544,30.808338,28.484316,34.25334
C07,Foxc2,29.676676,31.467459,32.209343,33.379425,30.976387,31.593697,32.622173,31.7514,31.830173,30.451817,32.34907,33.681454,32.609013,32.80651,30.258778,33.703857
C08,Foxo1,26.007664,23.080402,26.52206,28.350357,25.816368,26.607471,27.642956,25.915152,28.389368,27.136753,29.479445,28.280308,26.601765,27.432062,26.902754,29.336704
C09,Gata2,27.981993,28.611126,30.142942,31.0015,28.242924,29.329643,29.565365,29.51128,29.75926,28.948677,30.493702,28.717836,29.420084,30.544127,28.77216,32.081913
C10,Gata3,28.348198,29.211357,31.023579,31.33669,28.616467,29.629353,31.788723,28.85854,28.927994,26.841501,29.596401,27.33781,30.798674,30.96908,29.257298,33.193775
C11,Hes1,28.785835,27.681099,30.104336,31.955488,29.826694,29.726606,31.397024,30.089085,30.939306,29.273533,30.897121,28.939238,30.41975,30.659426,29.854118,32.54936
C12,Insr,26.683517,25.705652,27.528952,30.157755,26.40383,27.415693,28.735796,26.760637,28.733366,27.998016,29.997108,29.114634,27.942835,28.53418,27.979729,31.05529
D01,Irs1,25.741873,25.291388,27.35013,30.337137,26.454704,27.480263,28.473768,26.980467,28.464024,27.61375,30.77118,29.868996,28.481216,28.707386,28.11462,31.677765
D02,Irs2,27.1182,26.21315,26.96049,28.341068,25.655003,27.29774,27.818695,26.851833,28.661718,28.695532,28.983839,29.60893,27.911795,29.49749,28.662327,29.282976
D03,Jun,26.3166,26.65006,27.567883,28.305874,25.240816,26.751814,27.924412,26.58478,29.884756,28.346062,29.407866,29.608772,27.538181,29.429832,28.293852,29.65696
D04,Klf15,26.158155,25.975431,26.361616,29.645586,25.69091,26.876026,27.662428,25.732954,28.682991,27.622574,30.15977,29.790783,27.24696,28.236158,27.519821,30.463974
D05,Klf2,27.314344,27.933504,28.41286,29.513487,26.009876,27.775448,28.427969,26.833803,29.999249,29.112078,29.981504,30.092278,28.577848,29.291357,28.443363,32.030342
D06,Klf3,26.353954,25.865952,27.31205,28.54847,25.296438,26.611973,27.684717,26.312685,29.275843,27.892214,29.223429,27.939262,27.429441,27.899841,27.384993,30.70978
D07,Klf4,27.263292,27.372717,27.820604,30.236855,26.829397,28.506138,28.492338,27.218517,29.730865,28.846848,30.158266,29.281454,28.771442,28.748299,28.37155,31.7058
D08,Lep,25.605043,24.936125,24.93048,27.53235,24.176516,25.651934,27.012756,23.961643,29.38285,28.532001,31.302557,27.098932,25.538498,26.605204,25.94465,29.369562
D09,Lipe,22.644228,22.974003,22.56653,25.63367,21.697636,23.505953,24.085554,22.36715,24.876162,23.957973,27.472727,25.38758,23.803747,24.235888,23.369032,26.929134
D10,Lmna,26.322882,26.085018,26.82214,29.596066,25.735258,27.136028,27.845339,26.242575,28.74259,27.599445,29.820272,27.969353,27.576225,27.462122,27.225393,30.57498
D11,Lpl,20.130596,20.870695,20.284475,23.889984,19.86765,20.852781,22.07871,20.506071,23.386677,21.817781,26.264627,23.10078,21.818846,22.145811,21.535284,24.953604
D12,Lrp5,26.70206,26.082037,27.429573,29.469162,26.104113,27.55033,28.59022,26.833237,29.859894,28.679249,31.000128,29.09427,28.20768,28.066563,27.52187,30.739779
E01,Mapk14,26.702887,25.976685,27.736147,30.49144,26.903772,28.001583,29.047361,26.870316,29.312977,27.974829,30.235607,28.643194,28.300425,28.036768,27.332418,31.758692
E02,Ncoa2,27.508389,26.23039,28.308973,29.737825,26.98996,28.015583,29.175781,27.569574,30.086859,28.65806,30.227055,29.425655,28.574263,29.32625,28.269327,30.357471
E03,Ncor2,27.483236,26.196777,28.349554,28.482687,26.111898,27.157244,28.882992,27.741055,30.112257,28.81117,29.550056,29.196543,27.930456,28.583715,27.812218,29.779398
E04,Nr0b2,28.108244,27.660063,29.31386,29.451553,29.399616,29.253832,29.393873,29.371414,29.354538,29.795856,29.875957,30.516224,29.972933,27.754368,28.782324,30.383469
E05,Nr1h3,26.112509,26.716156,26.37014,29.123634,25.50303,26.851667,27.357872,26.42014,28.15771,27.208406,29.219385,28.141092,26.852205,26.964884,26.735245,30.085258
E06,Nrf1,27.521915,26.71383,29.08639,29.891758,28.428638,28.865267,29.042244,28.495655,28.73785,28.67107,29.605978,29.508522,29.422945,29.23423,28.425276,30.44697
E07,Ppara,28.959293,28.247814,30.231022,32.778484,29.336893,30.51577,30.64603,29.522564,29.705309,29.666796,29.75707,31.509392,31.076862,32.527565,29.084742,38.01737
E08,Ppard,29.048037,28.708317,29.964903,32.910336,28.91207,30.901312,31.196768,29.55277,30.772121,30.304018,32.82186,30.804459,30.73394,30.348364,29.585823,33.996487
E09,Pparg,24.39311,24.784311,24.943834,28.414381,23.86002,24.953247,26.002548,24.494953,27.100657,25.692623,28.894764,26.350895,25.521154,25.393293,25.30975,29.921856
E10,Ppargc1a,28.360903,29.342297,30.260452,31.980238,28.870497,29.533327,31.291039,28.77769,29.181293,29.13628,29.21176,31.534235,30.67974,30.271223,28.763771,32.502186
E11,Ppargc1b,28.590515,28.357262,29.913433,31.146425,28.250093,29.301308,30.341246,29.567165,30.002134,28.83581,30.096506,30.519972,30.514967,28.577555,28.835556,31.75909
E12,Prdm16,27.925539,28.288044,29.713863,31.490957,29.457829,29.795769,30.179535,29.637854,29.340097,29.319849,30.287392,30.368532,30.334316,30.147312,29.13043,31.547054
F01,Rb1,26.554354,26.621178,27.204464,30.929646,26.615667,27.744469,28.38823,26.652977,29.37118,28.140743,31.094902,29.177788,28.408035,28.290968,27.657068,31.953964
F02,Retn,25.998407,27.99489,27.82266,29.722347,26.805805,27.668472,28.116898,27.359867,28.302383,27.470724,28.952606,29.1532,28.117985,27.73486,27.526148,29.889923
F03,Runx1t1,28.669394,28.166542,30.629642,33.345516,29.357065,30.492088,31.398882,29.624231,29.58318,29.492987,30.893805,30.8824,30.80981,29.529627,28.674482,33.51655
